arm,bats,birthdate,cb,ch,cl,control,cu,delivery,durability,endurance,ethnicity,fa,facial_hair,fb,first_name,gf,hair_color,height,hitter_archetype,hm,hold_runner,injured,injury_description,is_pitcher,kn,last_name,mo,movement,other_positions,ph,pitcher_archetype,pl,player_id,pot_arm,pot_cb,pot_ch,pot_control,pot_cu,pot_endurance,pot_fa,pot_fb,pot_fielding,pot_gf,pot_hold_runner,pot_kn,pot_movement,pot_ph,pot_sc,pot_si,pot_sl,pot_sp,preferred_pitching_role,primary_position,return_date,role,sc,si,skin_tone,sl,sp,throws,vl,weight
54,L,1997-09-03,,53,50,,,,66,,Anglo,64,mustache,,Filiberto,57,brown,78,balanced,48,,0,0,False,,Bisignano,56,,[],60,,51,P7426,51,,53,,,,68,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",57,,,,64,51,,,54,,CF,0,,51,,medium,,58,L,72,217
48,L,1993-08-05,,45,47,,,,59,,Asian,44,clean_shaven,,Sung,49,black,75,power,50,,0,0,False,,Wang,49,,[],80,,40,P6079,40,,41,,,,34,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",49,,,,74,50,,,27,,C,0,,50,,medium,,34,R,54,243
55,S,1997-08-05,,46,44,,,,57,,African,43,clean_shaven,,Percy,51,black,76,balanced,45,,0,0,False,,Taylor,50,,[],53,,62,P2604,53,,44,,,,42,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",51,,,,55,52,,,28,,C,0,,52,,dark,,32,R,67,178
60,R,1995-12-16,,73,54,,,,67,,Asian,50,mustache,,Sung,47,black,78,contact,56,,0,0,False,,Nguyen,50,,[],52,,57,P9766,65,,78,,,,45,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",47,,,,55,51,,,72,,1B,0,,51,,light,,67,R,80,245
73,L,1992-08-29,,47,49,,,,63,,Anglo,66,mustache,,Darnell,49,blonde,72,power,51,,0,0,False,,King,49,,['CF'],80,,62,P9825,68,,38,,,,62,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'RF': 100}",49,,,,75,51,,,63,,LF,0,,51,,medium,,66,L,65,204
52,R,1989-06-08,,33,48,,,,54,,Anglo,53,clean_shaven,,Alejandro,53,brown,75,power,54,,0,0,False,,Ramirez,51,,[],58,,55,P6794,44,,25,,,,49,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",53,,,,54,46,,,24,,C,0,,46,,light,,33,R,49,171
57,R,1994-03-15,,78,53,,,,56,,African,81,clean_shaven,,Leroy,49,brown,71,contact,52,,0,0,False,,Wright,49,,[],52,,47,P9994,53,,79,,,,76,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",49,,,,54,56,,,54,,LF,0,,56,,dark,,58,R,81,244
51,R,1997-08-07,,64,46,,,,60,,Anglo,53,clean_shaven,,Tim,51,brown,71,contact,53,,0,0,False,,Rasole,49,,[],38,,44,P8810,50,,62,,,,52,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",51,,,,38,49,,,62,,CF,0,,49,,light,,64,R,74,242
69,L,1998-09-24,,82,52,,,,65,,Asian,67,clean_shaven,,Sung,51,black,70,contact,51,,0,0,False,,Khan,48,,[],59,,48,P6758,83,,92,,,,72,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",51,,,,65,52,,,79,,RF,0,,52,,medium,,64,L,70,244
76,R,1996-09-21,,83,52,,,,64,,Hispanic,63,goatee,,Hector,51,brown,73,contact,49,,0,0,False,,Ramirez,46,,[],52,,51,P5899,79,,82,,,,58,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",51,,,,50,53,,,70,,RF,0,,53,,medium,,68,R,75,179
73,L,1995-12-01,,46,51,,,,74,,Anglo,70,clean_shaven,,Abraham,55,black,68,power,50,,0,0,False,,Slane,51,,[],89,,52,P8220,70,,41,,,,70,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",55,,,,94,51,,,62,,RF,0,,51,,medium,,57,R,67,229
64,R,1996-03-11,,70,51,,,,70,,Asian,45,mustache,,Yong,48,black,69,contact,49,,0,0,False,,Le,48,,[],30,,61,P1247,63,,67,,,,42,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",48,,,,32,50,,,45,,C,0,,50,,light,,41,R,69,203
65,R,1993-07-04,,63,44,,,,64,,African,60,clean_shaven,,Cedric,52,black,75,balanced,43,,0,0,False,,Jefferson,51,,['1B'],69,,51,P5671,58,,59,,,,51,,"{'P': 90, 'C': 10, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",52,,,,67,48,,,59,,RF,0,,48,,dark,,66,R,64,181
57,R,1996-06-05,,51,50,,,,67,,Hispanic,60,clean_shaven,,Ricardo,48,red,70,power,46,,0,0,False,,Ramirez,50,,[],76,,49,P6699,60,,50,,,,56,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",48,,,,79,48,,,56,,CF,0,,48,,dark,,57,R,55,215
45,L,1998-01-17,,57,44,,,,57,,Hispanic,38,mustache,,Eduardo,49,brown,75,contact,49,,0,0,False,,Delgado,49,,[],39,,60,P5929,50,,70,,,,44,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",49,,,,53,50,,,56,,C,0,,50,,medium,,51,R,70,197
64,R,1997-08-26,,86,55,,,,64,,Asian,60,clean_shaven,,Yong,47,black,73,contact,50,,0,0,False,,Wang,49,,[],37,,49,P3645,62,,87,,,,56,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",47,,,,39,54,,,54,,LF,0,,54,,medium,,56,R,82,160
66,S,1997-10-02,,55,58,,,,67,,Asian,67,mustache,,Sung,55,black,74,power,46,,0,0,False,,Choi,50,,[],86,,65,P6660,61,,51,,,,72,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",55,,,,81,51,,,39,,RF,0,,51,,medium,,41,R,56,206
61,L,1998-08-14,,80,49,,,,65,,Anglo,57,clean_shaven,,Darryl,50,black,73,contact,46,,0,0,False,,Fantauzzo,54,,[],45,,53,P8257,66,,94,,,,69,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",50,,,,55,44,,,85,,LF,0,,44,,light,,74,L,89,230
42,R,1995-01-06,,43,52,,,,74,,Anglo,44,clean_shaven,,Jamel,51,blonde,78,power,47,,0,0,False,,Burtle,47,,[],81,,40,P1508,46,,46,,,,49,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",51,,,,80,51,,,33,,C,0,,51,,dark,,30,R,50,232
59,L,1999-01-29,,78,47,,,,63,,Hispanic,65,clean_shaven,,Rafael,52,brown,78,contact,46,,0,0,False,,Torres,55,,[],42,,50,P3795,74,,85,,,,70,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",52,,,,54,52,,,70,,1B,0,,52,,medium,,65,R,67,241
70,R,1998-10-14,,72,51,,,,59,,Anglo,64,clean_shaven,,Pedro,49,blonde,76,balanced,44,,0,0,False,,Rivera,53,,[],70,,54,P1754,84,,86,,,,77,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",49,,,,80,51,,,71,,RF,0,,51,,light,,65,R,66,228
57,R,1999-04-12,,77,51,,,,70,,African,51,beard,,Darnell,48,black,77,balanced,47,,0,0,False,,Allen,49,,[],52,,51,P9000,71,,85,,,,58,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",48,,,,67,50,,,74,,2B,0,,50,,dark,,59,R,61,217
59,L,1996-01-01,,79,54,,,,69,,Asian,55,clean_shaven,,Yong,48,black,78,balanced,52,,0,0,False,,Patel,51,,[],74,,51,P1844,57,,77,,,,60,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",48,,,,76,53,,,72,,1B,0,,53,,medium,,68,L,57,209
46,R,1997-07-09,,80,49,,,,62,,Hispanic,55,mustache,,Juan,52,brown,73,contact,51,,0,0,False,,Lopez,53,,[],40,,50,P5937,44,,82,,,,51,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",52,,,,45,46,,,62,,2B,0,,46,,medium,,57,R,69,167
61,L,1997-05-28,,71,53,,,,65,,Asian,49,clean_shaven,,Sung,51,black,71,balanced,56,,0,0,False,,Chen,55,,[],67,,53,P2527,57,,66,,,,47,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",51,,,,64,52,,,43,,1B,0,,52,,light,,47,L,60,212
53,S,1993-01-24,,42,52,,,,58,,Asian,42,clean_shaven,,Sung,49,black,69,power,51,,0,0,False,,Tanaka,46,,[],76,,56,P4813,48,,37,,,,40,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",49,,,,71,52,,,30,,C,0,,52,,light,,35,R,53,216
52,L,1993-01-16,,71,51,,,,64,,African,58,clean_shaven,,Malik,46,black,68,balanced,52,,0,0,False,,Jefferson,52,,[],73,,52,P2625,43,,67,,,,56,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",46,,,,69,47,,,33,,CF,0,,47,,dark,,41,L,71,204
64,L,1996-11-27,,72,51,,,,57,,Anglo,60,clean_shaven,,Lyman,50,black,70,balanced,52,,0,0,False,,Klepper,47,,[],80,,57,P1182,69,,75,,,,62,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",50,,,,76,48,,,52,,RF,0,,48,,light,,47,L,69,247
47,R,1997-06-11,,83,57,,,,61,,Hispanic,57,mustache,,Francisco,45,black,76,contact,49,,0,0,False,,Rivera,49,,[],30,,50,P6754,51,,83,,,,59,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",45,,,,31,53,,,59,,2B,0,,53,,light,,54,R,76,227
64,R,1991-03-28,,74,48,,,,59,,African,81,clean_shaven,,Jermaine,52,black,71,contact,47,,0,0,False,,Scott,50,,[],34,,46,P2049,56,,69,,,,75,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",52,,,,29,45,,,46,,SS,0,,45,,medium,,54,R,67,160
62,L,1994-01-08,,75,42,,,,62,,African,60,clean_shaven,,Rufus,48,black,75,contact,47,,0,0,False,,White,46,,[],55,,48,P8932,65,,80,,,,56,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",48,,,,54,49,,,73,,LF,0,,49,,dark,,75,L,77,188
76,R,2001-08-03,,79,51,,,,60,,Anglo,64,clean_shaven,,Linwood,54,blonde,78,contact,53,,0,0,False,,Huewe,52,,[],43,,44,P8474,89,,93,,,,70,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",54,,,,50,45,,,70,,RF,0,,45,,light,,64,R,80,223
65,L,1999-11-23,,78,55,,,,77,,Anglo,58,clean_shaven,,Bert,49,blonde,70,balanced,50,,0,0,False,,Harmond,54,,[],64,,45,P9284,77,,90,,,,73,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",49,,,,71,52,,,64,,1B,0,,52,,light,,55,L,59,184
51,R,1996-07-13,,82,47,,,,69,,Asian,60,clean_shaven,,Yong,47,black,71,contact,47,,0,0,False,,Liu,43,,[],42,,56,P3566,48,,87,,,,60,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",47,,,,46,53,,,60,,SS,0,,53,,light,,58,R,66,208
86,R,1998-09-14,,73,52,,,,68,,Hispanic,59,mustache,,Jorge,51,blonde,71,contact,49,,0,0,False,,Lopez,49,,[],45,,70,P3894,99,,82,,,,68,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",51,,,,58,51,,,70,,RF,0,,51,,medium,,59,R,72,180
54,R,1996-10-03,,70,52,,,,66,,African,43,clean_shaven,,Rufus,55,black,76,contact,56,,0,0,False,,Taylor,49,,[],35,,49,P7757,57,,68,,,,38,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",55,,,,30,45,,,55,,C,0,,45,,dark,,53,R,59,239
52,R,1997-11-22,,79,52,,,,65,,Anglo,71,clean_shaven,,Aaron,51,brown,70,balanced,48,,0,0,False,,Radon,50,,[],57,,56,P5451,49,,77,,,,73,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",51,,,,60,54,,,67,,SS,0,,54,,light,,62,R,59,223
73,S,1997-12-14,,61,53,,,,67,,Asian,59,goatee,,Sung,52,black,70,speed_disc,52,,0,0,False,,Lin,47,,[],64,,51,P4091,85,,70,,,,65,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",52,,,,74,50,,,84,,RF,0,,50,,medium,,76,R,83,229
58,R,2005-08-02,,62,53,,,,69,,African,65,clean_shaven,,Jamal,49,black,78,balanced,47,,0,0,False,,Baker,49,,[],45,,47,P6552,84,,86,,,,81,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",49,,,,63,48,,,80,,CF,0,,48,,dark,,61,R,52,185
64,R,1997-03-08,,67,51,,,,58,,African,59,clean_shaven,,Tyrone,51,black,76,balanced,50,,0,0,False,,Walker,54,,[],81,,45,P3134,65,,63,,,,55,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",51,,,,86,53,,,54,,1B,0,,53,,dark,,55,R,61,242
55,R,2000-08-10,,61,49,,,,70,,Hispanic,58,clean_shaven,,Rafael,53,black,73,contact,45,,0,0,False,,Rodriguez,54,,[],42,,52,P2901,64,,71,,,,67,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",53,,,,51,50,,,58,,C,0,,50,,medium,,45,R,78,210
58,L,1993-06-23,,68,48,,,,58,,Anglo,67,clean_shaven,,Son,53,brown,76,speed_disc,49,,0,0,False,,Mcmilleon,47,,[],50,,50,P2267,49,,63,,,,66,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",53,,,,49,48,,,74,,CF,0,,48,,light,,76,L,81,170
57,R,1993-03-19,,74,47,,,,63,,African,68,clean_shaven,,Rufus,48,black,69,contact,48,,0,0,False,,Washington,50,,[],42,,58,P9580,47,,67,,,,67,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",48,,,,33,52,,,64,,LF,0,,52,,dark,,69,R,80,180
54,L,1999-06-29,,52,49,,,,71,,Hispanic,54,beard,,Jorge,47,brown,77,balanced,45,,0,0,False,,Morales,48,,[],59,,51,P3914,65,,62,,,,69,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",47,,,,70,46,,,63,,CF,0,,46,,light,,49,L,75,224
58,R,1996-09-19,,73,47,,,,68,,Anglo,60,clean_shaven,,Francisco,54,red,78,power,46,,0,0,False,,Delgado,47,,[],77,,56,P5018,61,,74,,,,63,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",54,,,,78,49,,,56,,SS,0,,49,,light,,61,R,46,184
53,S,1997-01-17,,67,48,,,,59,,Hispanic,73,clean_shaven,,Pedro,53,brown,74,balanced,52,,0,0,False,,Gomez,52,,[],53,,57,P3198,52,,72,,,,74,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",53,,,,52,48,,,49,,CF,0,,48,,dark,,50,L,52,188
72,L,1992-03-17,,76,51,,,,56,,Hispanic,60,mustache,,Jorge,41,black,73,balanced,46,,0,0,False,,Hernandez,52,,[],64,,57,P3588,63,,75,,,,54,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",41,,,,59,53,,,53,,RF,0,,53,,medium,,53,L,64,201
71,R,1992-01-11,,75,47,,,,71,,African,62,clean_shaven,,Jamal,48,black,69,speed_disc,49,,0,0,False,,Taylor,58,,[],38,,61,P1793,68,,75,,,,57,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",48,,,,29,51,,,55,,3B,0,,51,,dark,,65,R,77,241
58,L,1995-03-03,,60,48,,,,71,,Anglo,55,beard,,Malik,46,red,74,balanced,50,,0,0,False,,Jackson,55,,[],64,,48,P8592,60,,64,,,,56,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",46,,,,60,46,,,59,,CF,0,,46,,medium,,64,R,72,175
59,S,1996-03-16,,59,54,,,,58,,Anglo,52,clean_shaven,,Bennie,49,black,77,contact,50,,0,0,False,,Coup,48,,[],34,,51,P9071,62,,62,,,,52,,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",49,,,,39,52,,,49,,C,0,,52,,medium,,49,R,73,171
59,R,1999-07-23,,62,49,,,,63,,Asian,49,goatee,,Sung,54,black,75,speed_disc,46,,0,0,False,,Liu,52,,[],47,,58,P3280,69,,74,,,,57,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",54,,,,52,56,,,79,,2B,0,,56,,medium,,73,R,76,184
67,R,2005-04-05,,82,51,,,,66,,Asian,38,clean_shaven,,Sung,56,black,77,contact,46,,0,0,False,,Le,50,,[],30,,59,P3547,77,,95,,,,50,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",56,,,,42,51,,,92,,2B,0,,51,,medium,,63,R,76,187
47,R,2000-01-20,,62,54,,,,57,,Hispanic,57,clean_shaven,,Luis,48,brown,77,balanced,49,,0,0,False,,Ramos,51,,[],53,,48,P6941,58,,68,,,,72,,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",48,,,,61,51,,,51,,2B,0,,51,,light,,40,R,61,176
59,L,2001-03-26,,59,54,,,,62,,Anglo,54,clean_shaven,,Daren,44,red,76,speed_disc,49,,0,0,False,,Longway,47,,[],59,,49,P5438,71,,73,,,,65,,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",44,,,,66,55,,,79,,CF,0,,55,,light,,69,L,87,240
49,L,1999-06-12,,90,52,,,,62,,Anglo,62,clean_shaven,,Rodney,52,red,72,contact,48,,0,0,False,,Ronda,46,,[],46,,48,P1736,60,,99,,,,75,,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",52,,,,51,47,,,70,,SS,0,,47,,medium,,65,R,76,222
58,S,1995-02-17,,62,49,,,,66,,Anglo,47,clean_shaven,,Otis,51,black,77,speed_disc,45,,0,0,False,,Tencer,46,,[],52,,47,P5544,57,,64,,,,42,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",51,,,,49,41,,,80,,LF,0,,41,,light,,85,L,91,222
51,R,1990-03-15,,80,54,,,,51,,Anglo,48,clean_shaven,,Cedric,55,blonde,70,contact,48,,0,0,False,,Taylor,55,,[],41,,56,P1222,46,,76,,,,46,,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",55,,,,41,47,,,48,,3B,0,,47,,light,,55,R,66,201
68,R,1997-06-22,,65,49,,,,71,,Hispanic,60,clean_shaven,,Jorge,51,black,73,balanced,47,,0,0,False,,Perez,48,,[],75,,44,P3897,65,,62,,,,60,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",51,,,,70,51,,,61,,1B,0,,51,,medium,,59,R,53,160
85,L,1990-08-23,,68,50,,,,63,,Anglo,64,clean_shaven,,Lester,55,brown,70,contact,50,,0,0,False,,Spasiano,50,,[],47,,48,P4700,82,,61,,,,59,,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",55,,,,39,46,,,58,,LF,0,,46,,light,,62,R,80,179
70,L,1993-05-18,,67,56,,,,60,,Anglo,60,clean_shaven,,Bryon,50,blonde,75,contact,47,,0,0,False,,Bocchini,52,,[],50,,51,P8085,62,,67,,,,55,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",50,,,,44,50,,,71,,RF,0,,50,,light,,77,L,76,228
58,R,1998-02-23,,72,57,,,,58,,Hispanic,86,clean_shaven,,Eduardo,48,black,78,contact,54,,0,0,False,,Vasquez,45,,[],42,,49,P3760,65,,85,,,,96,,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",48,,,,55,49,,,78,,1B,0,,49,,medium,,70,R,64,218
65,R,1998-12-01,,70,46,,,,73,,African,63,mustache,,Leroy,55,black,73,speed_disc,47,,0,0,False,,White,48,,[],58,,45,P6968,72,,83,,,,72,,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",55,,,,73,48,,,84,,RF,0,,48,,dark,,78,R,75,213
