player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype
P5255,Ricardo,Rivera,2003-06-16,78,174,Hispanic,medium,brown,mustache,L,P,,1,,,,,,45,,,,60,65,55,65,74,54,79,0,0,0,34,0,0,,,,45,,,,67,73,70,79,62,68,99,0,0,0,41,0,0,False,,,1,,,,,,0,50,middle_relief,
P7438,Rufus,Carter,1992-03-08,73,183,African,dark,black,clean_shaven,R,C,,0,,,66,79,53,50,56,46,53,48,59,,,,,,,,,,,,49,55,34,50,56,54,53,45,59,,,,,,,,,,,,False,,,1,,,,,,0,50,,power
P6579,Deshawn,Mitchell,1993-02-10,69,194,African,dark,black,clean_shaven,S,1B,,0,,,66,70,66,51,44,67,45,64,66,,,,,,,,,,,,63,56,68,51,44,49,45,62,59,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P9417,Cedric,Washington,1986-12-09,70,209,African,dark,black,clean_shaven,L,2B,CF,0,,,45,92,47,59,48,55,51,49,53,,,,,,,,,,,,69,76,43,59,48,56,51,40,43,,,,,,,,,,,,False,,,1,,,,,,0,50,,power
P3497,Yong,Khan,1992-11-26,71,160,Asian,medium,black,beard,R,3B,,0,,,74,49,64,44,48,75,50,59,76,,,,,,,,,,,,63,52,54,44,48,51,50,58,68,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P3838,Sung,Tanaka,2001-10-06,71,198,Asian,light,brown,clean_shaven,R,SS,,0,,,81,45,74,48,55,66,52,60,59,,,,,,,,,,,,77,63,75,48,55,54,52,67,71,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P5058,Sung,Nguyen,1990-05-12,77,247,Asian,medium,black,mustache,L,LF,,0,,,68,63,70,55,51,65,51,59,57,,,,,,,,,,,,61,52,49,55,51,48,51,56,55,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P8970,Sung,Hassan,2003-11-27,70,164,Asian,medium,black,clean_shaven,S,CF,,0,,,66,75,53,48,47,59,55,61,50,,,,,,,,,,,,77,80,68,48,47,46,55,90,65,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P8225,Rufus,White,1987-11-05,76,197,African,dark,black,beard,L,RF,,0,,,78,59,71,48,55,65,50,52,58,,,,,,,,,,,,66,74,57,48,55,57,50,52,48,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P9746,Hector,Martinez,1989-09-25,72,164,Hispanic,medium,brown,mustache,R,3B,,0,,,59,72,58,45,57,59,48,49,50,,,,,,,,,,,,59,57,61,45,57,58,48,39,40,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P2662,Sung,Kim,1999-10-07,69,245,Asian,medium,black,clean_shaven,R,3B,,0,,,73,63,76,53,54,63,48,61,63,,,,,,,,,,,,73,70,63,53,54,54,48,71,78,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P5294,Sung,Li,2003-10-11,77,198,Asian,medium,black,goatee,R,1B,,0,,,74,76,67,50,51,56,50,53,55,,,,,,,,,,,,91,77,66,50,51,51,50,68,60,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P8446,Curt,Carmouche,1991-12-12,74,167,Anglo,medium,brown,beard,R,SS,,0,,,69,51,72,53,60,85,52,67,62,,,,,,,,,,,,65,49,49,53,60,57,52,59,53,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P9250,Malik,Washington,1991-07-18,78,232,African,dark,black,clean_shaven,R,C,,0,,,68,93,43,50,38,47,51,54,65,,,,,,,,,,,,45,50,36,50,38,66,51,51,56,,,,,,,,,,,,False,,,1,,,,,,0,50,,power
P1517,Raul,Rivera,1994-09-06,68,165,Hispanic,medium,blonde,clean_shaven,S,LF,,0,,,72,71,64,53,59,59,46,44,56,,,,,,,,,,,,61,63,58,53,59,62,46,43,54,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P6391,Rafael,Perez,1994-03-13,75,209,Hispanic,light,brown,clean_shaven,L,P,,1,,,,,,56,,,,57,80,78,58,73,71,86,52,0,92,92,0,90,,,,56,,,,55,85,68,64,31,56,56,47,0,0,89,0,94,False,,,1,,,,,,0,50,power_starter,
P2874,Fernando,Ramos,1990-07-12,75,238,Hispanic,dark,brown,clean_shaven,R,P,,1,,,,,,44,,,,56,59,74,84,69,68,67,33,50,55,80,0,0,,,,44,,,,50,52,58,56,84,59,63,27,40,50,72,0,0,False,,,1,,,,,,0,50,finesse_starter,
P6198,Yong,Liu,1995-09-10,77,179,Asian,medium,black,clean_shaven,R,P,,1,,,,,,51,,,,54,69,67,53,54,52,77,66,0,0,0,0,0,,,,51,,,,49,73,56,65,66,53,99,62,0,0,0,0,0,False,,,1,,,,,,0,50,middle_relief,
P1897,Hector,Garcia,2002-05-28,76,191,Hispanic,medium,blonde,clean_shaven,S,P,,1,,,,,,47,,,,52,65,67,67,74,58,69,26,0,81,87,0,50,,,,47,,,,60,79,74,74,81,65,99,32,0,87,99,0,61,False,,,1,,,,,,0,50,balanced_starter,
P6052,Percy,King,1989-11-13,73,236,African,medium,black,mustache,S,P,,1,,,,,,50,,,,54,70,80,59,72,72,76,0,47,64,25,0,0,,,,50,,,,53,66,48,63,50,42,42,0,47,62,25,0,0,False,,,1,,,,,,0,50,balanced_starter,
P4285,Yong,Choi,1988-06-30,78,201,Asian,light,black,mustache,R,P,,1,,CL,,,,50,,,,56,64,38,69,75,67,90,33,78,54,0,0,0,,,,50,,,,49,58,44,57,69,49,56,26,73,54,0,0,0,False,,,1,,,,,,0,50,closer,
P2580,Sung,Park,1988-04-28,70,217,Asian,medium,black,clean_shaven,S,P,,1,,,,,,55,,,,55,50,65,65,73,55,66,0,24,0,0,0,0,,,,55,,,,54,50,62,52,44,46,94,0,22,0,0,0,0,False,,,1,,,,,,0,50,middle_relief,
P7979,Dustin,Grossi,1993-02-13,73,163,Anglo,medium,brown,clean_shaven,L,2B,,0,,,73,58,77,49,50,80,52,44,44,,,,,,,,,,,,60,40,44,49,50,56,52,38,41,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P2925,Alonzo,Strait,1989-05-17,69,166,Anglo,light,black,mustache,L,LF,,0,,,71,37,71,52,54,60,51,49,57,,,,,,,,,,,,59,57,47,52,54,46,51,40,51,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P2747,Rufus,Jefferson,2002-02-06,68,192,African,dark,black,clean_shaven,L,1B,,0,,,72,62,56,52,47,67,54,60,76,,,,,,,,,,,,79,78,69,52,47,51,54,68,91,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P3219,Xavier,Walker,2004-11-02,70,161,African,dark,black,clean_shaven,L,LF,,0,,,78,69,69,53,37,62,47,68,63,,,,,,,,,,,,79,67,88,53,37,52,47,81,74,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P8907,Isaias,Seise,1998-11-11,74,245,Anglo,light,blonde,clean_shaven,R,LF,,0,,,77,57,67,48,56,54,47,65,63,,,,,,,,,,,,81,75,81,48,56,55,47,79,75,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P2334,Sung,Liu,1999-04-09,74,214,Asian,light,black,beard,R,C,,0,,,53,88,50,55,53,51,53,53,54,,,,,,,,,,,,48,67,53,55,53,64,53,67,69,,,,,,,,,,,,False,,,1,,,,,,0,50,,power
P2734,Percy,Scott,2003-05-15,72,245,African,dark,black,beard,R,3B,,0,,,60,77,66,50,45,66,52,62,54,,,,,,,,,,,,73,66,57,50,45,52,52,76,65,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P4622,Roberto,Rivera,1988-07-26,69,176,Hispanic,light,brown,mustache,R,SS,,0,,,72,69,70,53,49,56,49,68,61,,,,,,,,,,,,61,53,48,53,49,47,49,62,57,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P3552,Cole,Margaret,2006-05-01,76,169,Anglo,light,black,clean_shaven,R,P,,1,,,,,,55,,,,57,72,50,64,57,55,83,71,22,94,60,0,0,,,,55,,,,73,94,87,89,78,91,85,81,38,99,59,0,0,False,,,1,,,,,,0,50,middle_relief,
P6834,Luis,Perez,2007-06-01,70,182,Hispanic,light,black,goatee,R,P,,1,,,,,,45,,,,63,76,82,61,71,49,92,71,0,0,52,0,0,,,,45,,,,84,87,73,75,84,81,69,99,0,0,68,0,0,False,,,1,,,,,,0,50,power_starter,
P9200,Deshawn,Robinson,2004-02-04,69,180,African,dark,black,beard,R,P,,1,,,,,,46,,,,59,61,72,62,73,65,72,0,48,27,50,0,0,,,,46,,,,71,72,84,86,61,71,99,0,67,46,74,0,0,False,,,1,,,,,,0,50,balanced_starter,
P3019,Leroy,Scott,2006-12-06,77,204,African,dark,brown,mustache,R,P,,1,,,,,,47,,,,51,62,61,69,66,70,77,75,86,0,0,0,0,,,,47,,,,66,79,79,81,72,63,67,91,99,0,0,0,0,False,,,1,,,,,,0,50,middle_relief,
P8008,Pedro,Gomez,2004-12-16,73,180,Hispanic,light,brown,beard,R,P,,1,,LR,,,,49,,,,53,56,67,64,76,54,67,88,80,41,20,0,0,,,,49,,,,73,83,73,72,83,74,83,99,99,65,50,0,0,False,,,1,,,,,,0,50,long_relief,
P5383,Rafael,Castillo,2004-11-03,76,206,Hispanic,light,blonde,clean_shaven,S,CF,,0,,,73,62,67,53,57,68,53,61,53,,,,,,,,,,,,90,63,88,53,57,46,53,71,68,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P6664,Cedric,Allen,2004-06-19,68,240,African,dark,brown,clean_shaven,R,C,,0,,,68,63,56,52,62,64,51,42,46,,,,,,,,,,,,93,78,79,52,62,56,51,55,70,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P3089,Percy,Jackson,2006-10-29,70,202,African,dark,black,beard,R,CF,,0,,,56,67,56,45,50,68,45,63,51,,,,,,,,,,,,83,79,83,45,50,53,45,81,62,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P6948,Yong,Yamamoto,2005-02-23,72,247,Asian,medium,black,mustache,R,C,,0,,,76,47,64,48,53,79,50,53,51,,,,,,,,,,,,82,70,82,48,53,51,50,76,63,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P3869,Daren,Longway,2004-01-12,71,183,Anglo,light,blonde,beard,R,2B,,0,,,64,92,51,52,60,61,45,51,57,,,,,,,,,,,,67,98,73,52,60,63,45,74,87,,,,,,,,,,,,False,,,1,,,,,,0,50,,power
P2385,Antonio,Mendoza,1987-01-29,70,160,Hispanic,light,black,beard,L,P,,1,,,,,,55,,,,56,77,74,79,71,71,72,81,72,92,92,0,0,,,,55,,,,55,77,53,74,33,46,74,75,67,36,67,0,0,False,,,1,,,,,,0,50,balanced_starter,
P1779,Francisco,Ramos,2000-10-23,74,234,Hispanic,dark,black,beard,R,P,,1,,,,,,48,,,,55,72,55,67,62,68,74,0,42,36,0,0,0,,,,48,,,,65,77,71,77,71,81,90,0,47,45,0,0,0,False,,,1,,,,,,0,50,middle_relief,
P5127,Tyrone,Walker,1993-11-01,74,230,African,dark,black,clean_shaven,R,P,,1,,LR,,,,50,,,,48,63,58,69,71,55,69,80,67,23,0,0,0,,,,50,,,,43,58,58,51,47,43,94,80,57,23,0,0,0,False,,,1,,,,,,0,50,long_relief,
P8313,Leroy,Allen,1998-08-09,68,161,African,dark,black,clean_shaven,R,P,,1,,,,,,57,,,,54,70,59,66,59,59,80,43,60,70,72,0,0,,,,57,,,,66,80,74,72,67,60,72,55,67,78,80,0,0,False,,,1,,,,,,0,50,middle_relief,
P9328,Hector,Vargas,2001-03-20,72,179,Hispanic,medium,brown,goatee,L,P,,1,,,,,,49,,,,52,70,55,60,68,51,79,22,82,92,92,0,0,,,,49,,,,58,85,63,74,60,71,83,31,92,96,64,0,0,False,,,1,,,,,,0,50,middle_relief,
P2037,Sung,Pham,1995-10-25,68,189,Asian,medium,black,clean_shaven,R,P,,1,,,,,,55,,,,49,69,70,74,75,73,53,42,0,0,68,0,0,,,,55,,,,53,68,58,53,53,54,94,42,0,0,63,0,0,False,,,1,,,,,,0,50,specialist_starter,
P4734,Percy,Green,1997-10-25,68,202,African,medium,black,clean_shaven,R,P,,1,,LR,,,,49,,,,59,59,56,62,70,64,69,58,77,0,0,0,0,,,,49,,,,55,64,61,67,55,45,49,60,78,0,0,0,0,False,,,1,,,,,,0,50,long_relief,
P5882,Yong,Pham,1988-07-16,72,221,Asian,medium,black,clean_shaven,R,P,,1,,,,,,48,,,,55,59,61,70,67,64,84,0,0,68,0,0,0,,,,48,,,,49,57,44,48,49,76,90,0,0,67,0,0,0,False,,,1,,,,,,0,50,middle_relief,
P7095,Brandon,Kruizenga,1998-04-19,69,193,Anglo,medium,black,mustache,R,P,,1,,,,,,49,,,,60,64,81,83,72,70,72,0,95,32,0,0,0,,,,49,,,,73,70,70,68,79,59,71,0,99,39,0,0,0,False,,,1,,,,,,0,50,finesse_starter,
P6279,Hilario,Fellin,1993-08-26,68,179,Anglo,light,blonde,clean_shaven,R,P,,1,,,,,,50,,,,55,66,87,56,72,65,77,56,64,31,36,0,0,,,,50,,,,46,61,56,52,61,46,93,56,60,22,33,0,0,False,,,1,,,,,,0,50,power_starter,
P1867,Cameron,Kleimola,1992-04-17,68,181,Anglo,light,black,beard,S,P,,1,,,,,,51,,,,54,66,82,70,71,69,72,64,88,0,26,0,0,,,,51,,,,48,56,67,52,57,57,43,57,78,0,20,0,0,False,,,1,,,,,,0,50,finesse_starter,
P6593,Kelly,Elsaesser,1991-08-18,74,198,Anglo,medium,brown,beard,R,C,,0,,,68,76,75,45,47,64,48,46,48,,,,,,,,,,,,53,57,45,45,47,56,48,44,48,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P5981,Cordell,Panke,1988-06-22,78,168,Anglo,medium,blonde,clean_shaven,L,1B,,0,,,78,75,69,51,60,50,52,54,53,,,,,,,,,,,,54,64,65,51,60,44,52,47,47,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P5223,Jamal,Taylor,1995-01-25,75,227,African,dark,black,clean_shaven,R,2B,SS,0,,,67,44,74,46,57,73,49,51,48,,,,,,,,,,,,64,60,50,46,57,55,49,55,44,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P7045,Sung,Khan,1989-07-31,68,174,Asian,light,black,clean_shaven,R,3B,,0,,,53,88,49,54,45,58,47,61,56,,,,,,,,,,,,50,77,59,54,45,55,47,52,49,,,,,,,,,,,,False,,,1,,,,,,0,50,,power
P5282,Bert,Harmond,1997-09-15,74,240,Anglo,medium,black,beard,L,SS,,0,,,76,51,56,52,56,76,53,60,57,,,,,,,,,,,,68,45,44,52,56,50,53,62,62,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P7710,Hector,Guerrero,1999-09-13,73,226,Hispanic,dark,black,clean_shaven,R,LF,,0,,,75,42,64,47,50,59,46,62,61,,,,,,,,,,,,78,67,71,47,50,47,46,75,68,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P4300,Hung,Teffeteller,1993-01-21,76,183,Anglo,medium,brown,mustache,L,CF,,0,,,61,54,60,50,49,61,55,63,51,,,,,,,,,,,,45,50,56,50,49,43,55,57,50,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P9811,Eduardo,Vasquez,2003-06-12,71,213,Hispanic,light,black,clean_shaven,L,RF,,0,,,54,75,43,53,64,52,43,67,74,,,,,,,,,,,,66,99,82,53,64,53,43,82,89,,,,,,,,,,,,False,,,1,,,,,,0,50,,power
P5605,Yong,Lin,1988-10-21,74,217,Asian,medium,black,clean_shaven,R,RF,,0,,,79,39,72,49,61,80,51,55,71,,,,,,,,,,,,67,52,47,49,61,61,51,52,64,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P2753,Hector,Ramirez,1994-09-15,73,175,Hispanic,medium,brown,mustache,R,3B,,0,,,75,61,71,53,53,55,48,69,61,,,,,,,,,,,,63,69,55,53,53,46,48,71,64,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P5405,Yong,Huang,1994-10-10,72,188,Asian,light,black,clean_shaven,R,C,,0,,,76,65,47,45,45,51,51,45,60,,,,,,,,,,,,48,49,53,45,45,61,51,40,58,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P7380,Rafael,Gomez,1988-10-28,69,160,Hispanic,light,blonde,clean_shaven,L,LF,RF,0,,,61,73,74,51,40,70,50,55,70,,,,,,,,,,,,51,56,71,51,40,52,50,53,63,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P7882,Sung,Chen,1988-03-28,76,199,Asian,light,black,clean_shaven,R,C,,0,,,72,65,70,47,48,60,47,40,52,,,,,,,,,,,,40,47,37,47,48,60,47,33,45,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P2716,Darryl,Fantauzzo,1992-08-20,71,161,Anglo,light,black,clean_shaven,L,LF,,0,,,49,80,65,50,46,62,51,51,64,,,,,,,,,,,,50,72,47,50,46,49,51,51,57,,,,,,,,,,,,False,,,1,,,,,,0,50,,power
P5190,Jamal,Jackson,2003-06-12,68,196,African,dark,black,clean_shaven,L,P,,1,,,,,,55,,,,57,94,60,70,61,53,82,20,53,92,92,0,0,,,,55,,,,72,99,70,88,57,73,99,26,66,79,34,0,0,False,,,1,,,,,,0,50,middle_relief,
P9982,Lenard,Delaroca,2001-07-18,72,168,Anglo,light,brown,clean_shaven,S,P,,1,,,,,,46,,,,52,69,78,82,76,71,70,33,79,34,81,0,0,,,,46,,,,66,82,77,78,78,57,60,44,84,43,92,0,0,False,,,1,,,,,,0,50,finesse_starter,
P1993,Sung,Zhang,1998-04-12,71,225,Asian,light,brown,clean_shaven,S,P,,1,,,,,,51,,,,58,77,85,77,85,80,66,49,21,54,90,0,0,,,,51,,,,67,90,60,84,70,57,99,55,27,60,98,0,0,False,,,1,,,,,,0,50,finesse_starter,
P5600,Hector,Perez,1990-06-16,70,207,Hispanic,dark,blonde,goatee,S,P,,1,,LR,,,,48,,,,58,70,62,58,74,55,66,0,79,0,34,0,0,,,,48,,,,51,63,44,66,51,43,89,0,70,0,24,0,0,False,,,1,,,,,,0,50,long_relief,
P1533,Pedro,Hernandez,1995-08-05,74,179,Hispanic,medium,blonde,beard,L,P,,1,,,,,,56,,,,57,66,68,63,80,60,55,0,0,32,0,0,0,,,,56,,,,53,69,57,66,65,46,74,0,0,30,0,0,0,False,,,1,,,,,,0,50,specialist_starter,
P4275,Yong,Wang,1993-06-07,75,207,Asian,medium,brown,beard,L,P,,1,,,,,,49,,,,53,63,65,73,72,68,74,26,55,0,63,0,0,,,,49,,,,49,57,56,67,52,49,73,22,45,0,56,0,0,False,,,1,,,,,,0,50,balanced_starter,
P4456,Sung,Le,1996-06-21,78,234,Asian,medium,black,clean_shaven,R,P,,1,,LR,,,,50,,,,64,65,61,65,61,65,66,20,0,0,95,0,0,,,,50,,,,68,64,69,62,47,52,78,15,0,0,96,0,0,False,,,1,,,,,,0,50,long_relief,
P1907,Darnell,Baker,2000-03-30,78,173,African,light,brown,beard,L,CF,,0,,,77,66,58,50,49,68,54,64,54,,,,,,,,,,,,84,67,62,50,49,49,54,73,63,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P4117,Jorge,Hernandez,1994-09-17,74,237,Hispanic,medium,blonde,beard,R,C,,0,,,82,52,71,51,55,70,53,47,46,,,,,,,,,,,,56,43,44,51,55,60,53,49,41,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P1370,Darnell,White,2000-07-02,70,190,African,dark,black,goatee,S,SS,,0,,,70,56,73,44,50,65,56,57,55,,,,,,,,,,,,83,56,76,44,50,56,56,71,65,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P7195,Arron,Molinary,1992-10-23,78,222,Anglo,light,brown,goatee,R,CF,,0,,,76,62,53,47,52,71,52,58,61,,,,,,,,,,,,59,55,52,47,52,45,52,54,60,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P5199,Sung,Yamamoto,1987-04-12,78,244,Asian,light,black,clean_shaven,L,1B,LF,0,,,80,75,63,48,36,72,56,48,55,,,,,,,,,,,,59,61,51,48,36,53,56,39,47,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P9637,Raul,Martinez,1993-08-03,78,194,Hispanic,dark,black,clean_shaven,L,RF,,0,,,77,73,78,44,53,61,49,64,75,,,,,,,,,,,,49,50,61,44,53,43,49,57,67,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P1437,Jesus,Tankson,1994-12-09,73,209,Anglo,light,red,clean_shaven,R,2B,,0,,,68,54,71,55,56,65,48,53,48,,,,,,,,,,,,67,50,64,55,56,50,48,49,43,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P5879,Colin,Galietti,1989-09-05,75,209,Anglo,light,red,beard,L,RF,,0,,,73,50,73,44,48,62,47,78,68,,,,,,,,,,,,61,53,62,44,48,48,47,68,61,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P6663,Maurice,Dekruif,2005-04-29,76,227,Anglo,medium,blonde,clean_shaven,R,P,,1,,,,,,55,,,,54,75,68,60,73,55,70,0,31,92,92,0,0,,,,55,,,,76,99,74,92,43,70,54,0,50,56,64,0,0,False,,,1,,,,,,0,50,middle_relief,
P5565,Yong,Tanaka,2004-03-19,72,189,Asian,medium,black,clean_shaven,R,P,,1,,,,,,53,,,,50,62,73,80,79,80,63,52,0,0,39,0,0,,,,53,,,,68,77,74,93,75,58,98,82,0,0,58,0,0,False,,,1,,,,,,0,50,finesse_starter,
P5983,Alfonzo,Friedler,2007-07-31,78,201,Anglo,light,brown,mustache,R,P,,1,,SU,,,,51,,,,54,61,47,71,63,54,79,0,67,0,0,0,0,,,,51,,,,69,77,75,66,96,73,72,0,80,0,0,0,0,False,,,1,,,,,,0,50,setup,
P4626,Deshawn,Jefferson,2007-02-27,77,198,African,dark,black,clean_shaven,R,P,,1,,,,,,52,,,,55,66,72,72,76,56,89,66,47,70,38,0,0,,,,52,,,,82,94,95,75,90,71,95,84,60,87,68,0,0,False,,,1,,,,,,0,50,power_starter,
P6895,Jermaine,Allen,2006-01-23,75,161,African,dark,black,clean_shaven,R,P,,1,,CL,,,,46,,,,59,72,37,60,72,55,86,0,61,64,0,0,0,,,,46,,,,86,88,90,72,91,74,99,0,75,74,0,0,0,False,,,1,,,,,,0,50,closer,
P7779,Yong,Chen,2004-01-28,68,250,Asian,light,black,clean_shaven,L,RF,,0,,,82,63,61,51,62,82,55,69,73,,,,,,,,,,,,99,73,73,51,62,42,55,92,95,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P2293,Jermaine,Taylor,2007-10-24,70,180,African,dark,brown,goatee,L,RF,,0,,,71,67,50,52,49,67,52,52,74,,,,,,,,,,,,94,89,67,52,49,56,52,79,99,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P6881,Deshawn,Young,2007-05-30,69,215,African,dark,black,clean_shaven,R,SS,,0,,,86,58,77,47,53,72,45,50,55,,,,,,,,,,,,99,72,77,47,53,54,45,68,85,,,,,,,,,,,,False,,,1,,,,,,0,50,,contact
P3216,Miguel,Perez,2007-10-04,74,182,Hispanic,dark,brown,clean_shaven,L,1B,,0,,,58,77,63,56,52,58,52,52,55,,,,,,,,,,,,91,76,80,56,52,47,52,73,73,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
P9478,Pedro,Vasquez,2006-02-19,73,214,Hispanic,light,brown,goatee,L,CF,,0,,,74,74,58,48,55,62,49,65,57,,,,,,,,,,,,74,76,68,48,55,43,49,94,80,,,,,,,,,,,,False,,,1,,,,,,0,50,,balanced
